STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
17000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17000.00,5464,2048,59.95316159250586,22139,26.23,577.4,159.45,38.15049647086972,124550,45200,50,573.85,100,578.0,17562
17000,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17000.00,80157,3918,5.139102034391847,767464,26.77,6.75,-19.35,-74.13793103448276,393000,248600,50,6.45,250,6.85,17562
17050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17050.00,173,90,108.43373493975903,284,31.2,539.35,167.55,45.0645508337816,79050,22750,100,523.5,50,533.2,17562
17050,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17050.00,7927,280,3.661566627435596,195790,25.29,7.35,-23.4,-76.09756097560975,136500,79850,1050,7.35,850,7.85,17562
17100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17100.00,772,49,6.77731673582296,8441,23.93,479.65,150.2,45.59113674305661,92900,32600,100,475.2,1450,480.4,17562
17100,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17100.00,36208,3095,9.346782230543894,672011,23.78,8.05,-28.7,-78.0952380952381,154800,129550,1300,7.7,50,8.2,17562
17150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17150.00,322,123,61.80904522613066,3659,21.33,428.75,141.0,49.00086880973067,92950,25550,50,414.3,50,443.4,17562
17150,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17150.00,14625,4256,41.04542385958145,346962,22.3,8.95,-34.849999999999994,-79.56621004566209,222850,80950,100,8.7,1250,10.3,17562
17200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17200.00,2900,-1218,-29.5774647887324,46438,20.28,380.5,131.6,52.872639614302926,100400,29000,450,380.0,100,382.25,17562
17200,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17200.00,59860,8270,16.03023841829812,999617,21.24,10.95,-42.05,-79.33962264150944,135000,245200,3000,10.5,1850,10.95,17562
17250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17250.00,1085,375,52.816901408450704,32571,21.24,337.6,127.20000000000002,60.45627376425856,96550,32550,50,320.55,100,336.45,17562
17250,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17250.00,19691,8293,72.75837866292332,505188,19.64,12.25,-51.35,-80.73899371069182,111550,132750,750,11.05,50,12.6,17562
17300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17300.00,9405,3496,59.163987138263664,286083,18.25,286.0,111.3,63.70921579851174,128100,46700,800,286.0,100,287.15,17562
17300,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17300.00,63505,12694,24.982779319438706,1483226,18.43,15.0,-63.150000000000006,-80.80614203454894,166700,444200,800,15.05,2350,15.15,17562
17350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17350.00,2461,-1513,-38.07247106190236,242035,15.95,236.35,94.29999999999998,66.3850756775783,126600,47600,150,236.3,750,238.95,17562
17350,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17350.00,26303,12147,85.8081378920599,826857,16.84,17.5,-78.0,-81.67539267015707,154900,202150,1500,17.5,1050,18.2,17562
17400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17400.00,27812,-6272,-18.401596056800845,1300672,15.37,192.9,79.65,70.33112582781457,180250,77050,1550,192.95,50,195.0,17562
17400,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17400.00,73680,17785,31.81858842472493,1833567,16.11,24.05,-91.9,-79.25830099180682,212600,520550,50,24.0,800,24.9,17562
17450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17450.00,11939,-4614,-27.874101371352623,840084,14.54,151.05,61.30000000000001,68.30083565459611,133550,66900,200,151.0,650,152.6,17562
17450,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17450.00,23714,8906,60.1431658562939,703639,15.19,32.25,-109.3,-77.2165312610385,144550,225250,100,31.45,1900,32.25,17562
17500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17500.00,53240,-4634,-8.007049797836679,2005312,14.46,116.0,46.6,67.14697406340056,281000,250200,1400,114.2,1650,116.0,17562
17500,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17500.00,59138,18454,45.35935502900403,1020738,14.96,46.85,-123.05,-72.4249558563861,192550,364250,350,45.0,3800,46.85,17562
17550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17550.00,29742,4778,19.139560967793624,762567,14.36,85.75,32.75,61.79245283018868,147650,167500,750,84.55,650,85.75,17562
17550,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17550.00,15861,7501,89.72488038277513,205088,14.35,64.05,-138.60000000000002,-68.3937823834197,227250,122900,50,64.0,800,65.9,17562
17600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17600.00,69118,-12858,-15.685078559578413,1511598,14.31,60.95,21.050000000000004,52.75689223057645,396100,443200,50,60.5,12050,61.0,17562
17600,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17600.00,22320,-2269,-9.227703444629713,271990,14.58,90.7,-149.25,-62.20045842883935,185400,149650,50,88.8,250,90.9,17562
17650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021CE17650.00,32331,-3563,-9.926450103081295,578732,14.13,40.85,10.8,35.94009983361065,148850,218450,1000,40.55,300,40.85,17562
17650,23-Sep-2021,NIFTY,OPTIDXNIFTY23-09-2021PE17650.00,3524,-491,-12.229140722291406,26580,14.58,121.3,-161.05,-57.0391358243315,214550,58150,1950,119.0,50,121.3,17562
